PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,BOX_OUTS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,SEASON
201166,Aaron Brooks,1610612741,CHI,31.0,1,7.0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
203932,Aaron Gordon,1610612753,ORL,20.0,1,34.0,2,2,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
201143,Al Horford,1610612737,ATL,30.0,2,64.0,25,22,3,3,0,6,12,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
201582,Alexis Ajinca,1610612740,NOP,28.0,1,17.0,7,5,2,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
202087,Alonzo Gee,1610612740,NOP,29.0,1,27.0,2,2,0,3,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
2405,Amar'e Stoudemire,1610612748,MIA,33.0,1,6.0,0,0,0,0,0,1,2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
2738,Andre Iguodala,1610612744,GSW,32.0,2,42.0,3,3,0,3,0,1,3,0,0,5,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
101106,Andrew Bogut,1610612744,GSW,31.0,2,51.0,18,16,2,1,0,5,10,0,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
203952,Andrew Wiggins,1610612750,MIN,21.0,1,42.0,12,4,8,8,0,1,2,0,0,5,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
203076,Anthony Davis,1610612740,NOP,23.0,1,35.0,15,9,6,1,0,3,6,0,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
201167,Arron Afflalo,1610612752,NYK,30.0,1,37.0,9,3,6,0,0,0,0,0,0,2,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
2757,Beno Udrih,1610612763,MEM,33.0,1,37.0,8,6,2,1,0,1,2,0,0,2,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
1626171,Bobby Portis,1610612741,CHI,21.0,1,9.0,5,2,3,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
2564,Boris Diaw,1610612759,SAS,34.0,1,11.0,4,4,0,3,0,1,3,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
201575,Brandon Rush,1610612744,GSW,30.0,1,10.0,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
203912,C.J. Wilcox,1610612746,LAC,25.0,1,9.0,0,0,0,0,0,1,2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
201171,Carl Landry,1610612755,PHI,32.0,1,19.0,4,3,1,0,0,1,2,0,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
2546,Carmelo Anthony,1610612752,NYK,32.0,1,35.0,2,1,1,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
202718,Chandler Parsons,1610612742,DAL,27.0,1,36.0,8,6,2,5,0,1,2,0,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
101112,Channing Frye,1610612739,CLE,33.0,2,32.0,7,7,0,1,0,1,2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
2547,Chris Bosh,1610612748,MIA,32.0,1,32.0,10,8,2,0,0,2,4,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
101108,Chris Paul,1610612746,LAC,31.0,1,37.0,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
203991,Clint Capela,1610612745,HOU,22.0,1,12.0,11,8,3,3,0,2,4,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
202332,Cole Aldrich,1610612746,LAC,27.0,1,20.0,10,10,0,0,0,2,5,0,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
201147,Corey Brewer,1610612745,HOU,30.0,1,23.0,10,4,6,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
201568,Danilo Gallinari,1610612743,DEN,27.0,1,38.0,7,5,2,3,2,2,4,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
201980,Danny Green,1610612759,SAS,29.0,1,28.0,4,3,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
201967,Dante Cunningham,1610612740,NOP,29.0,1,27.0,5,4,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
201589,Darrell Arthur,1610612743,DEN,28.0,1,30.0,9,7,2,1,0,2,4,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
101135,David Lee,1610612742,DAL,33.0,2,41.0,15,13,2,5,0,4,11,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
2561,David West,1610612759,SAS,35.0,1,18.0,4,3,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
201599,DeAndre Jordan,1610612746,LAC,27.0,1,37.0,5,5,0,1,0,3,7,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
203471,Dennis Schröder,1610612737,ATL,22.0,1,13.0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
101114,Deron Williams,1610612742,DAL,32.0,1,25.0,2,1,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
202682,Derrick Williams,1610612752,NYK,25.0,1,21.0,3,2,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
2734,Devin Harris,1610612742,DAL,33.0,2,59.0,8,6,2,3,2,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
1717,Dirk Nowitzki,1610612742,DAL,38.0,2,67.0,20,14,6,5,0,6,13,0,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
203926,Doug McDermott,1610612741,CHI,24.0,1,33.0,3,2,1,1,0,1,2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
203110,Draymond Green,1610612744,GSW,26.0,2,68.0,23,16,7,8,0,3,8,0,0,2,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
2730,Dwight Howard,1610612745,HOU,30.0,1,34.0,4,3,1,11,0,5,12,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
203939,Dwight Powell,1610612742,DAL,24.0,1,3.0,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2015-16
